[2019-01-30 13:07:21] [wg.core.Controller] [FINE] - Start parsing commands
[2019-01-30 13:07:21] [wg.core.WorkloadParser] [FINE] - Finished with parsing workload
[2019-01-30 13:07:23] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 2000
[2019-01-30 13:07:23] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 2000
[2019-01-30 13:07:25] [wg.core.Executor] [INFO] - Event: event2 ausgeführt um: 4000
[2019-01-30 13:07:25] [wg.core.Executor] [INFO] - Event: event2 ausgeführt um: 4000
[2019-01-30 13:07:27] [wg.core.Executor] [INFO] - Event: event3 ausgeführt um: 6000
[2019-01-30 13:07:27] [wg.core.Executor] [INFO] - Event: event3 ausgeführt um: 6000
[2019-01-30 13:07:29] [wg.core.Executor] [INFO] - Event: event4 ausgeführt um: 8000
[2019-01-30 13:07:29] [wg.core.Executor] [INFO] - Event: event4 ausgeführt um: 8000
[2019-01-30 13:07:33] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 4000
[2019-01-30 13:07:33] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 4000
[2019-01-30 13:07:33] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 4000
[2019-01-30 13:07:33] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 4000
[2019-01-30 13:07:37] [wg.core.Executor] [INFO] - Event: event2 ausgeführt um: 8000
[2019-01-30 13:07:37] [wg.core.Executor] [INFO] - Event: event2 ausgeführt um: 8000
[2019-01-30 13:07:37] [wg.core.Executor] [INFO] - Event: event2 ausgeführt um: 8000
[2019-01-30 13:07:37] [wg.core.Executor] [INFO] - Event: event2 ausgeführt um: 8000
[2019-01-30 13:07:41] [wg.core.Executor] [INFO] - Event: event3 ausgeführt um: 12000
[2019-01-30 13:07:41] [wg.core.Executor] [INFO] - Event: event3 ausgeführt um: 12000
[2019-01-30 13:07:41] [wg.core.Executor] [INFO] - Event: event3 ausgeführt um: 12000
[2019-01-30 13:07:41] [wg.core.Executor] [INFO] - Event: event3 ausgeführt um: 12000
[2019-01-30 13:07:45] [wg.core.Executor] [INFO] - Event: event4 ausgeführt um: 16000
[2019-01-30 13:07:45] [wg.core.Executor] [INFO] - Event: event4 ausgeführt um: 16000
[2019-01-30 13:07:45] [wg.core.Executor] [INFO] - Event: event4 ausgeführt um: 16000
[2019-01-30 13:07:45] [wg.core.Executor] [INFO] - Event: event4 ausgeführt um: 16000
[2019-01-30 13:07:53] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 8000
[2019-01-30 13:07:53] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 8000
[2019-01-30 13:07:53] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 8000
[2019-01-30 13:07:53] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 8000
[2019-01-30 13:07:53] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 8000
[2019-01-30 13:07:53] [wg.core.Executor] [INFO] - Event: event1 ausgeführt um: 8000
